me,gpt,part,day
0.0033550262451171875,0.22264790534973145,Part 1,day1
0.0033750534057617188,0.2547421455383301,Part 1,day1
0.003201007843017578,0.2281970977783203,Part 1,day1
0.0031948089599609375,0.2209911346435547,Part 1,day1
0.0032138824462890625,0.24964380264282227,Part 1,day1
0.0031981468200683594,0.22194910049438477,Part 1,day1
0.003717184066772461,0.2216968536376953,Part 1,day1
0.003253936767578125,0.2264401912689209,Part 1,day1
0.003210783004760742,0.22039794921875,Part 1,day1
0.0032448768615722656,0.22042107582092285,Part 1,day1
0.0033059120178222656,0.22034120559692383,Part 1,day1
0.0031991004943847656,0.22091221809387207,Part 1,day1
0.003216981887817383,0.22712397575378418,Part 1,day1
0.003245115280151367,0.22013592720031738,Part 1,day1
0.0032057762145996094,0.22306609153747559,Part 1,day1
0.0033478736877441406,0.22161197662353516,Part 1,day1
0.0319218635559082,0.22121500968933105,Part 1,day1
0.0035669803619384766,0.22702407836914063,Part 1,day1
0.003278970718383789,0.2204289436340332,Part 1,day1
0.0032668113708496094,0.21988916397094727,Part 1,day1
0.012456893920898438,0.22623896598815918,Part 2,day1
0.011968851089477539,0.22732901573181152,Part 2,day1
0.011981010437011719,0.22797393798828125,Part 2,day1
0.011991024017333984,0.23317503929138184,Part 2,day1
0.012372016906738281,0.22649812698364258,Part 2,day1
0.012398958206176758,0.22776198387145996,Part 2,day1
0.012082099914550781,0.22670698165893555,Part 2,day1
0.017453908920288086,0.2325458526611328,Part 2,day1
0.011852025985717773,0.22704601287841797,Part 2,day1
0.011760950088500977,0.2282259464263916,Part 2,day1
0.011887073516845703,0.2330760955810547,Part 2,day1
0.01180410385131836,0.22609496116638184,Part 2,day1
0.011770009994506836,0.22896885871887207,Part 2,day1
0.012008905410766602,0.22842884063720703,Part 2,day1
0.011963129043579102,0.23326420783996582,Part 2,day1
0.012033939361572266,0.22763395309448242,Part 2,day1
0.012191057205200195,0.2282090187072754,Part 2,day1
0.012160062789916992,0.23495912551879883,Part 2,day1
0.012239933013916016,0.2271430492401123,Part 2,day1
0.017526865005493164,0.2276618480682373,Part 2,day1
